TITLE,SCORE,VOTES,GENRE
Cobra Kai,8.6,163858,Action
The Last Kingdom,8.5,126473,Action
Ash vs Evil Dead,8.4,70087,Action
Trollhunters: Tales of Arcadia,8.4,16509,Action
Kingdom,8.3,43760,Action
The Witcher,8.2,465949,Action
Marco Polo,8,71229,Action
Avatar: The Last Airbender,9.3,297336,Animation
Arcane,9.1,175412,Animation
BoJack Horseman,8.8,143584,Animation
The Legend of Korra,8.4,117464,Animation
The Dragon Prince,8.4,21635,Animation
Castlevania,8.3,61114,Animation
Attack on Titan,9,325381,Anime
Hunter x Hunter,9,87857,Anime
DEATH NOTE,9,302147,Anime
Cowboy Bebop,8.9,112887,Anime
One Piece,8.8,112586,Anime
Demon Slayer: Kimetsu no Yaiba,8.7,88265,Anime
One-Punch Man,8.7,148386,Anime
Code Geass: Lelouch of the Rebellion,8.7,62367,Anime
Neon Genesis Evangelion,8.5,64727,Anime
The Promised Neverland,8.4,34730,Anime
Seinfeld,8.9,302700,Comedy
Monty Python's Flying Circus,8.8,72895,Comedy
Chappelle's Show,8.8,62140,Comedy
Arrested Development,8.7,297552,Comedy
Trailer Park Boys,8.6,41791,Comedy
Schitt's Creek,8.5,112537,Comedy
The IT Crowd,8.5,147409,Comedy
After Life,8.5,124972,Comedy
Community,8.5,252564,Comedy
Derry Girls,8.4,28718,Comedy
Mindhunter,8.6,261429,Crime
Making a Murderer,8.6,93456,Crime
The Trials of Gabriel Fernandez,8.1,10982,Crime
Wild Wild Country,8.1,29298,Crime
Don't F**k with Cats: Hunting an Internet Killer,8,50250,Crime
Our Planet,9.3,41386,Documentary
The Last Dance,9.1,108321,Documentary
Formula 1: Drive to Survive,8.6,36661,Documentary
Manhunt,8.1,57459,Documentary
Breaking Bad,9.5,1727694,Drama
Heartstopper,8.9,28978,Drama
When They See Us,8.9,114127,Drama
Peaky Blinders,8.8,485506,Drama
Better Call Saul,8.8,404920,Drama
Narcos,8.8,404486,Drama
Anne with an E,8.7,51001,Drama
Downton Abbey,8.7,197744,Drama
House of Cards,8.7,494092,Drama
The Crown,8.7,190878,Drama
Dark,8.7,354443,Sci-Fi
Stranger Things,8.7,989090,Sci-Fi
Hilda,8.5,10162,Sci-Fi
Supernatural,8.5,428639,Sci-Fi
The Dark Crystal: Age of Resistance,8.4,24164,Sci-Fi
Outlander,8.4,152435,Sci-Fi
Stargate SG-1,8.4,90196,Sci-Fi
The Originals,8.3,131574,Sci-Fi
Sense8,8.2,151518,Sci-Fi
HAPPY!,8.1,37747,Sci-Fi
